run_id,source_type,source_path,original_filename,destination_filename,extension,size_bytes,sha256,duplicate_of,source_still_exists,status,error
20260908T095809Z,android,/storage/emulated/0/.share_protect/1752640840412@1428985771.jpg,1752640840412@1428985771.jpg,1752640840412@1428985771.jpg,.jpg,1049143,8816b9a2e392a81dfe947e8ab7a789fd3e7a0ccc988a6bde753971ab63132820,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG-20251004-WA0039@2017285514.jpeg,IMG-20251004-WA0039@2017285514.jpeg,IMG-20251004-WA0039@2017285514.jpeg,.jpeg,867073,ebc810d3b1dd75812722c96fbfbf1db3cfdb7373c8f3bc23f86560b23f1e7de4,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG-20251031-WA0048@-2055274106.jpeg,IMG-20251031-WA0048@-2055274106.jpeg,IMG-20251031-WA0048@-2055274106.jpeg,.jpeg,585975,9bce8f9c9aa52fa9da8b09bebde845dba860d0c1f3f4b62c383072d974e71881,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG-20251031-WA0051@-1368174482.jpeg,IMG-20251031-WA0051@-1368174482.jpeg,IMG-20251031-WA0051@-1368174482.jpeg,.jpeg,1126500,3ac61e6e57a0ceff2225efbbfd6c89ad579999e86e78de10c88c828b7e9e645c,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG-20251031-WA0053@-1310916180.jpeg,IMG-20251031-WA0053@-1310916180.jpeg,IMG-20251031-WA0053@-1310916180.jpeg,.jpeg,1211332,8cadebae938ff2896a5fb9c0794b49c2eb372a77829d9a531b903157b4978181,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG_20250119_201054_074@22877470.jpg,IMG_20250119_201054_074@22877470.jpg,IMG_20250119_201054_074@22877470.jpg,.jpg,3341637,c2bee3d3ac620ae873c56d3ecab677678609b7c4265947c2cc13d9808d1b1e6c,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG_20250220_152012_926@-791123106.jpg,IMG_20250220_152012_926@-791123106.jpg,IMG_20250220_152012_926@-791123106.jpg,.jpg,3579205,3e5bd7d69a25000348d8bacd04ee6dceaaa19b2c798b799026880d43b73343c8,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG_20250220_160324_424@-2099431618.jpg,IMG_20250220_160324_424@-2099431618.jpg,IMG_20250220_160324_424@-2099431618.jpg,.jpg,4308293,3256f3fc09547cd82a4456abdd5cc91d6e20940608816d4084def13090c7bdf2,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG_20250220_170158_367@1201427804.jpg,IMG_20250220_170158_367@1201427804.jpg,IMG_20250220_170158_367@1201427804.jpg,.jpg,3956037,1af6c11fe630e3232befd7ecfdb5b4fef6038bf9633fbe2ddaeadc324b4f80f1,,True,copied,
20260908T095809Z,android,/storage/emulated/0/.share_protect/IMG_20250405_185315_569@-1308627498.jpg,IMG_20250405_185315_569@-1308627498.jpg,IMG_20250405_185315_569@-1308627498.jpg,.jpg,3539808,f3d793b177e0b38406e38985f6fa07e02ef52191a3eada8263924093e3459a80,,True,copied,
